393,1:13:00.160,Entry,6,after CS,,
394,1:13:00.660,Exit,6,after CS,Time,
395,1:13:00.660,Entry,7,ITI,,
397,1:13:01.020,Input,2,Right Entrance,,
398,1:13:01.030,Input,33,Left Exit,,
399,1:13:18.530,Input,1,Left Entrance,,
400,1:13:18.535,Input,34,Right Exit,,
401,1:13:34.900,Input,2,Right Entrance,,
402,1:13:34.910,Input,33,Left Exit,,
403,1:15:00.665,Exit,7,ITI,Time,
404,1:15:00.665,Entry,3,CS,,
405,1:15:00.670,Exit,3,CS,Entry,
